NOAA/NOS/CO-OPS
Disclaimer: These data are based upon the latest information available as of the date of your request, and may differ from the published tide tables.
Annual Tide Predictions
StationName: Ensenada, Todos Santos Bay 
State:  
Stationid: TWC0403
ReferencedToStationName: San Diego, San Diego Bay
ReferencedToStationId: 9410170
HeightOffsetLow: * 0.89
HeightOffsetHigh: * 0.92
TimeOffsetLow: -11
TimeOffsetHigh: -19
Prediction Type: Subordinate
From: 20180101 01:24 - 20181231 23:01
Units: Feet and Centimeters
Time Zone: LST_LDT
Datum: MLLW
Interval Type: High/Low

Date 		Day	Time	Pred(Ft)	Pred(cm)	High/Low
2018/01/01	Mon	01:24	1.32		40			L
2018/01/01	Mon	07:33	6.89		210			H
2018/01/01	Mon	14:47	-1.67		-51			L
2018/01/01	Mon	21:04	4.16		127			H
2018/01/02	Tue	02:12	1.34		41			L
2018/01/02	Tue	08:18	6.93		211			H
2018/01/02	Tue	15:33	-1.74		-53			L
2018/01/02	Tue	21:52	4.22		129			H
2018/01/03	Wed	03:01	1.40		43			L
2018/01/03	Wed	09:05	6.73		205			H
2018/01/03	Wed	16:19	-1.58		-48			L
2018/01/03	Wed	22:41	4.23		129			H
2018/01/04	Thu	03:53	1.52		46			L
2018/01/04	Thu	09:53	6.30		192			H
2018/01/04	Thu	17:06	-1.23		-37			L
2018/01/04	Thu	23:32	4.22		129			H
2018/01/05	Fri	04:50	1.68		51			L
2018/01/05	Fri	10:44	5.67		173			H
2018/01/05	Fri	17:54	-0.74		-23			L
2018/01/06	Sat	00:27	4.24		129			H
2018/01/06	Sat	05:56	1.85		56			L
2018/01/06	Sat	11:40	4.91		150			H
2018/01/06	Sat	18:44	-0.18		-5			L
2018/01/07	Sun	01:26	4.29		131			H
2018/01/07	Sun	07:16	1.92		59			L
2018/01/07	Sun	12:46	4.13		126			H
2018/01/07	Sun	19:38	0.39		12			L
2018/01/08	Mon	02:28	4.42		135			H
2018/01/08	Mon	08:49	1.77		54			L
2018/01/08	Mon	14:08	3.48		106			H
2018/01/08	Mon	20:35	0.90		27			L
2018/01/09	Tue	03:28	4.62		141			H
2018/01/09	Tue	10:23	1.38		42			L
2018/01/09	Tue	15:46	3.11		95			H
2018/01/09	Tue	21:35	1.30		40			L
2018/01/10	Wed	04:21	4.84		148			H
2018/01/10	Wed	11:34	0.87		27			L
2018/01/10	Wed	17:19	3.07		94			H
2018/01/10	Wed	22:32	1.58		48			L
2018/01/11	Thu	05:06	5.06		154			H
2018/01/11	Thu	12:25	0.39		12			L
2018/01/11	Thu	18:27	3.19		97			H
2018/01/11	Thu	23:23	1.74		53			L
2018/01/12	Fri	05:45	5.26		160			H
2018/01/12	Fri	13:05	0.01		0			L
2018/01/12	Fri	19:15	3.33		101			H
2018/01/13	Sat	00:06	1.81		55			L
2018/01/13	Sat	06:21	5.44		166			H
2018/01/13	Sat	13:38	-0.29		-9			L
2018/01/13	Sat	19:52	3.46		105			H
2018/01/14	Sun	00:44	1.81		55			L
2018/01/14	Sun	06:53	5.58		170			H
2018/01/14	Sun	14:09	-0.49		-15			L
2018/01/14	Sun	20:23	3.57		109			H
2018/01/15	Mon	01:19	1.78		54			L
2018/01/15	Mon	07:25	5.68		173			H
2018/01/15	Mon	14:38	-0.63		-19			L
2018/01/15	Mon	20:52	3.66		112			H
2018/01/16	Tue	01:52	1.73		53			L
2018/01/16	Tue	07:56	5.73		175			H
2018/01/16	Tue	15:08	-0.69		-21			L
2018/01/16	Tue	21:21	3.73		114			H
2018/01/17	Wed	02:24	1.70		52			L
2018/01/17	Wed	08:27	5.70		174			H
2018/01/17	Wed	15:37	-0.68		-21			L
2018/01/17	Wed	21:52	3.77		115			H
2018/01/18	Thu	02:57	1.70		52			L
2018/01/18	Thu	08:58	5.59		170			H
2018/01/18	Thu	16:08	-0.59		-18			L
2018/01/18	Thu	22:24	3.79		116			H
2018/01/19	Fri	03:31	1.74		53			L
2018/01/19	Fri	09:29	5.37		164			H
2018/01/19	Fri	16:39	-0.41		-12			L
2018/01/19	Fri	22:58	3.81		116			H
2018/01/20	Sat	04:08	1.81		55			L
2018/01/20	Sat	10:02	5.05		154			H
2018/01/20	Sat	17:11	-0.16		-5			L
2018/01/20	Sat	23:35	3.84		117			H
2018/01/21	Sun	04:53	1.89		58			L
2018/01/21	Sun	10:38	4.61		141			H
2018/01/21	Sun	17:45	0.16		5			L
2018/01/22	Mon	00:16	3.91		119			H
2018/01/22	Mon	05:50	1.95		59			L
2018/01/22	Mon	11:22	4.07		124			H
2018/01/22	Mon	18:22	0.54		16			L
2018/01/23	Tue	01:03	4.04		123			H
2018/01/23	Tue	07:08	1.92		59			L
2018/01/23	Tue	12:26	3.47		106			H
2018/01/23	Tue	19:07	0.95		29			L
2018/01/24	Wed	01:58	4.25		130			H
2018/01/24	Wed	08:45	1.65		50			L
2018/01/24	Wed	14:07	2.97		91			H
2018/01/24	Wed	20:05	1.33		41			L
2018/01/25	Thu	02:59	4.58		140			H
2018/01/25	Thu	10:16	1.08		33			L
2018/01/25	Thu	16:02	2.83		86			H
2018/01/25	Thu	21:17	1.61		49			L
2018/01/26	Fri	03:59	5.01		153			H
2018/01/26	Fri	11:26	0.35		11			L
2018/01/26	Fri	17:32	3.05		93			H
2018/01/26	Fri	22:29	1.70		52			L
2018/01/27	Sat	04:56	5.51		168			H
2018/01/27	Sat	12:21	-0.39		-12			L
2018/01/27	Sat	18:36	3.40		104			H
2018/01/27	Sat	23:33	1.63		50			L
2018/01/28	Sun	05:48	6.01		183			H
2018/01/28	Sun	13:08	-1.02		-31			L
2018/01/28	Sun	19:25	3.75		114			H
2018/01/29	Mon	00:29	1.45		44			L
2018/01/29	Mon	06:38	6.43		196			H
2018/01/29	Mon	13:52	-1.47		-45			L
2018/01/29	Mon	20:09	4.06		124			H
2018/01/30	Tue	01:20	1.23		37			L
2018/01/30	Tue	07:25	6.68		204			H
2018/01/30	Tue	14:35	-1.71		-52			L
2018/01/30	Tue	20:50	4.30		131			H
2018/01/31	Wed	02:08	1.03		31			L
2018/01/31	Wed	08:11	6.72		205			H
2018/01/31	Wed	15:16	-1.71		-52			L
2018/01/31	Wed	21:30	4.46		136			H
2018/02/01	Thu	02:56	0.91		28			L
2018/02/01	Thu	08:57	6.51		198			H
2018/02/01	Thu	15:57	-1.48		-45			L
2018/02/01	Thu	22:11	4.55		139			H
2018/02/02	Fri	03:45	0.90		27			L
2018/02/02	Fri	09:42	6.05		184			H
2018/02/02	Fri	16:37	-1.07		-33			L
2018/02/02	Fri	22:53	4.56		139			H
2018/02/03	Sat	04:36	0.99		30			L
2018/02/03	Sat	10:29	5.40		165			H
2018/02/03	Sat	17:17	-0.52		-16			L
2018/02/03	Sat	23:37	4.52		138			H
2018/02/04	Sun	05:32	1.16		35			L
2018/02/04	Sun	11:18	4.62		141			H
2018/02/04	Sun	17:57	0.11		3			L
2018/02/05	Mon	00:24	4.44		135			H
2018/02/05	Mon	06:37	1.33		41			L
2018/02/05	Mon	12:15	3.81		116			H
2018/02/05	Mon	18:40	0.76		23			L
2018/02/06	Tue	01:17	4.36		133			H
2018/02/06	Tue	07:58	1.41		43			L
2018/02/06	Tue	13:30	3.10		94			H
2018/02/06	Tue	19:29	1.35		41			L
2018/02/07	Wed	02:18	4.31		131			H
2018/02/07	Wed	09:38	1.25		38			L
2018/02/07	Wed	15:21	2.71		83			H
2018/02/07	Wed	20:33	1.82		55			L
2018/02/08	Thu	03:24	4.36		133			H
2018/02/08	Thu	11:08	0.87		27			L
2018/02/08	Thu	17:28	2.78		85			H
2018/02/08	Thu	21:51	2.08		63			L
2018/02/09	Fri	04:26	4.51		137			H
2018/02/09	Fri	12:06	0.45		14			L
2018/02/09	Fri	18:36	3.04		93			H
2018/02/09	Fri	23:02	2.12		65			L
2018/02/10	Sat	05:18	4.73		144			H
2018/02/10	Sat	12:47	0.08		2			L
2018/02/10	Sat	19:13	3.28		100			H
2018/02/10	Sat	23:55	2.02		62			L
2018/02/11	Sun	06:00	4.98		152			H
2018/02/11	Sun	13:19	-0.21		-6			L
2018/02/11	Sun	19:40	3.48		106			H
2018/02/12	Mon	00:35	1.84		56			L
2018/02/12	Mon	06:37	5.21		159			H
2018/02/12	Mon	13:48	-0.44		-13			L
2018/02/12	Mon	20:03	3.66		112			H
2018/02/13	Tue	01:10	1.63		50			L
2018/02/13	Tue	07:11	5.41		165			H
2018/02/13	Tue	14:15	-0.60		-18			L
2018/02/13	Tue	20:27	3.83		117			H
2018/02/14	Wed	01:43	1.43		44			L
2018/02/14	Wed	07:43	5.55		169			H
2018/02/14	Wed	14:43	-0.69		-21			L
2018/02/14	Wed	20:51	3.98		121			H
2018/02/15	Thu	02:15	1.26		38			L
2018/02/15	Thu	08:14	5.58		170			H
2018/02/15	Thu	15:10	-0.69		-21			L
2018/02/15	Thu	21:17	4.11		125			H
2018/02/16	Fri	02:48	1.14		35			L
2018/02/16	Fri	08:46	5.50		168			H
2018/02/16	Fri	15:37	-0.59		-18			L
2018/02/16	Fri	21:45	4.21		128			H
2018/02/17	Sat	03:22	1.06		32			L
2018/02/17	Sat	09:18	5.29		161			H
2018/02/17	Sat	16:05	-0.40		-12			L
2018/02/17	Sat	22:14	4.30		131			H
2018/02/18	Sun	03:59	1.04		32			L
2018/02/18	Sun	09:52	4.94		151			H
2018/02/18	Sun	16:33	-0.09		-3			L
2018/02/18	Sun	22:45	4.36		133			H
2018/02/19	Mon	04:41	1.06		32			L
2018/02/19	Mon	10:29	4.45		136			H
2018/02/19	Mon	17:03	0.30		9			L
2018/02/19	Mon	23:20	4.40		134			H
2018/02/20	Tue	05:32	1.12		34			L
2018/02/20	Tue	11:15	3.86		118			H
2018/02/20	Tue	17:34	0.76		23			L
2018/02/21	Wed	00:01	4.43		135			H
2018/02/21	Wed	06:40	1.16		35			L
2018/02/21	Wed	12:19	3.22		98			H
2018/02/21	Wed	18:13	1.25		38			L
2018/02/22	Thu	00:55	4.46		136			H
2018/02/22	Thu	08:11	1.06		32			L
2018/02/22	Thu	14:03	2.73		83			H
2018/02/22	Thu	19:10	1.72		52			L
2018/02/23	Fri	02:06	4.56		139			H
2018/02/23	Fri	09:50	0.68		21			L
2018/02/23	Fri	16:14	2.71		83			H
2018/02/23	Fri	20:46	2.04		62			L
2018/02/24	Sat	03:25	4.80		146			H
2018/02/24	Sat	11:09	0.09		3			L
2018/02/24	Sat	17:43	3.08		94			H
